label,node_id
37,0
27,1
28,2
16,3
10,4
30,5
5,6
16,7
16,8
34,9
24,10
3,11
6,12
23,13
15,14
24,15
24,16
37,17
6,18
23,19
16,20
16,21
30,22
30,23
24,24
27,25
31,26
27,27
8,28
24,29
16,30
16,31
23,32
24,33
30,34
30,35
28,36
27,37
23,38
27,39
27,40
31,41
24,42
8,43
7,44
30,45
16,46
25,47
28,48
27,49
16,50
4,51
24,52
30,53
24,54
3,55
6,56
6,57
27,58
5,59
30,60
24,61
16,62
10,63
16,64
30,65
16,66
6,67
4,68
25,69
30,70
16,71
16,72
36,73
30,74
16,75
16,76
27,77
27,78
16,79
9,80
24,81
16,82
10,83
31,84
34,85
36,86
24,87
4,88
16,89
6,90
16,91
16,92
30,93
10,94
9,95
16,96
27,97
23,98
10,99
27,100
23,101
16,102
16,103
23,104
27,105
24,106
4,107
4,108
10,109
16,110
24,111
23,112
28,113
3,114
13,115
4,116
4,117
16,118
20,119
4,120
24,121
24,122
16,123
24,124
16,125
30,126
10,127
16,128
16,129
28,130
16,131
30,132
24,133
16,134
24,135
22,136
24,137
24,138
16,139
30,140
8,141
26,142
16,143
30,144
24,145
24,146
24,147
16,148
6,149
24,150
16,151
16,152
16,153
24,154
34,155
16,156
27,157
30,158
30,159
36,160
24,161
16,162
16,163
16,164
34,165
8,166
24,167
16,168
30,169
3,170
31,171
39,172
16,173
24,174
30,175
36,176
2,177
3,178
16,179
30,180
10,181
27,182
24,183
27,184
23,185
16,186
8,187
10,188
18,189
4,190
10,191
24,192
31,193
34,194
23,195
4,196
30,197
24,198
8,199
30,200
24,201
16,202
24,203
30,204
16,205
24,206
10,207
2,208
30,209
16,210
24,211
24,212
27,213
30,214
24,215
16,216
24,217
16,218
8,219
36,220
16,221
28,222
16,223
13,224
16,225
16,226
25,227
30,228
4,229
27,230
30,231
10,232
30,233
16,234
16,235
31,236
16,237
24,238
24,239
24,240
27,241
5,242
16,243
16,244
24,245
8,246
16,247
7,248
16,249
30,250
16,251
31,252
23,253
30,254
16,255
6,256
4,257
28,258
18,259
10,260
16,261
5,262
24,263
27,264
36,265
28,266
10,267
30,268
34,269
2,270
16,271
5,272
24,273
14,274
16,275
30,276
3,277
1,278
5,279
27,280
27,281
30,282
30,283
24,284
24,285
16,286
5,287
30,288
37,289
15,290
30,291
6,292
6,293
24,294
13,295
16,296
5,297
27,298
27,299
22,300
10,301
28,302
10,303
30,304
16,305
20,306
27,307
27,308
24,309
30,310
30,311
8,312
2,313
8,314
24,315
3,316
2,317
16,318
30,319
16,320
6,321
5,322
39,323
31,324
24,325
4,326
24,327
16,328
4,329
24,330
24,331
30,332
30,333
16,334
30,335
3,336
2,337
24,338
16,339
27,340
30,341
6,342
24,343
8,344
31,345
24,346
4,347
13,348
30,349
16,350
4,351
30,352
24,353
24,354
24,355
23,356
28,357
23,358
30,359
24,360
5,361
3,362
9,363
16,364
26,365
22,366
16,367
16,368
27,369
16,370
29,371
16,372
8,373
2,374
23,375
13,376
24,377
10,378
23,379
30,380
16,381
4,382
24,383
16,384
27,385
24,386
25,387
27,388
16,389
30,390
16,391
30,392
6,393
24,394
16,395
4,396
16,397
10,398
30,399
24,400
24,401
16,402
6,403
24,404
30,405
4,406
20,407
30,408
24,409
16,410
15,411
16,412
16,413
30,414
4,415
30,416
34,417
24,418
16,419
16,420
10,421
16,422
36,423
16,424
16,425
17,426
24,427
24,428
24,429
27,430
6,431
24,432
24,433
